10	11
Matrix with Random Values:
4	4	6	3	8	6	3	8	7	5	8
2	1	6	8	8	1	3	4	6	5	3
4	6	8	4	8	2	1	7	9	2	5
4	7	9	3	4	3	2	1	1	2	9
8	1	5	9	8	9	3	1	5	3	9
8	1	7	6	1	2	9	1	7	9	9
7	5	1	5	2	5	6	6	4	1	3
9	1	4	4	8	8	7	4	9	5	2
8	3	3	8	2	3	6	8	9	8	6
5	4	4	4	2	3	4	1	3	9	9

Matrix with Shuffled Column Indices:
3	10	2	9	0	5	1	8	7	4	6
1	6	7	0	2	5	3	10	8	9	4
7	3	1	8	10	0	2	4	5	9	6
7	2	0	4	1	5	3	8	10	6	9
5	10	7	2	4	9	1	6	0	8	3
10	8	1	2	9	0	4	5	6	7	3
1	0	8	5	7	10	2	4	3	9	6
9	4	6	5	7	8	1	2	0	3	10
2	6	9	8	0	4	3	10	1	7	5
6	0	5	4	1	10	8	9	7	2	3
