10	11
Matrix with Random Values:
9	5	8	2	7	6	6	6	7	6	9
1	7	8	5	3	9	9	4	9	4	3
3	1	3	2	3	3	6	7	2	8	4
7	8	8	1	2	1	9	8	7	9	3
1	8	7	3	3	1	1	8	1	5	5
9	4	2	8	2	1	1	4	3	6	1
8	9	3	6	4	6	9	3	7	9	9
4	9	5	9	8	9	5	5	6	8	4
9	3	6	4	2	1	6	5	5	3	1
5	4	7	9	3	6	2	2	9	7	8

Matrix with Shuffled Column Indices:
0	7	9	6	1	5	2	3	10	8	4
5	0	8	4	6	1	3	10	9	2	7
3	6	8	1	5	9	0	2	4	7	10
9	5	0	2	3	6	8	7	10	1	4
7	0	4	1	5	10	8	6	2	3	9
6	5	2	9	4	10	7	8	3	1	0
7	9	8	4	10	0	5	3	6	1	2
6	7	3	1	2	10	5	8	4	9	0
6	2	1	7	9	3	0	5	4	10	8
9	6	10	2	5	7	8	4	1	0	3
