1;0.6;2.7
2;0.6;4.6
3;0.7;4.5
4;0.8;4.4
5;0.9;5.9
6;0.9;16.8
7;1.0;5.7
8;1.0;12.6
9;1.0;27.2
10;1.1;8.1
11;1.1;12.5
12;1.1;21.4
13;1.2;6.0
14;1.2;9.4
15;1.3;11.0
16;1.4;11.8
17;1.4;15.1
18;1.4;22.6
19;1.5;8.2
20;1.5;10.8
21;1.5;37.0
22;1.7;28.6
23;1.7;134.1
24;1.8;9.3
25;1.8;13.5
26;1.8;66.0
27;1.8;141.2
28;2.0;7.9
29;2.0;1200.0
30;2.1;112.9
31;2.3;23.0
32;2.3;115.4
33;2.5;1201.2
34;2.6;31.7
35;2.6;485.2
36;2.6;552.3
37;2.7;88.0
38;2.8;27.7
39;2.8;1200.0
40;2.8;1201.4
41;2.9;1200.0
42;3.0;201.8
43;3.0;1201.9
44;3.1;74.5
45;3.1;132.8
46;3.1;1201.6
47;3.2;1200.0
48;3.3;1200.0
49;3.4;375.3
50;3.4;1200.0
51;3.5;83.4
52;3.6;20.7
53;3.8;46.2
54;3.8;1200.0
55;3.8;1200.0
56;4.0;64.5
57;4.0;172.1
58;4.4;434.1
59;4.6;27.1
60;4.6;1200.0
61;4.7;161.3
62;4.7;1202.6
63;4.8;19.8
64;4.9;53.7
65;4.9;428.1
66;5.1;68.3
67;5.1;1200.0
68;5.2;265.5
69;5.2;396.1
70;5.4;1200.0
71;5.7;1202.8
72;5.9;1202.1
73;6.0;91.6
74;6.0;1200.0
75;6.0;1202.9
76;6.3;1203.2
77;6.9;117.6
78;7.0;340.5
79;7.2;275.1
80;7.4;298.5
81;7.9;1202.4
82;8.6;1202.4
83;9.9;130.9
84;10.3;1200.1
85;10.5;162.2
86;10.5;1202.5
87;10.8;1200.0
88;11.7;1203.0
89;11.9;1202.4
90;12.4;1202.4
91;12.7;1200.0
92;13.7;1202.2
93;14.9;1201.8
94;15.0;1200.1
95;19.6;1201.6
96;26.4;1202.1
97;30.0;1203.3
98;31.8;1200.0
99;31.8;1201.8
100;82.7;1203.7
