10	11
Matrix with Random Values:
1	8	7	8	4	3	6	7	2	1	7
3	1	5	7	7	1	8	7	7	2	2
7	2	8	1	3	4	9	1	9	8	2
6	9	2	6	7	5	5	6	9	7	3
8	1	5	3	8	4	4	2	6	7	8
5	7	9	2	6	9	9	2	4	2	4
5	2	2	2	4	7	5	8	5	1	6
8	5	2	4	5	2	6	2	2	6	1
9	5	9	6	3	4	4	6	2	4	6
3	4	9	9	1	5	5	3	5	6	3

Matrix with Shuffled Column Indices:
5	2	6	9	8	4	0	1	10	7	3
1	10	9	3	5	7	0	4	6	8	2
8	3	0	9	10	7	1	4	6	2	5
8	9	4	6	3	10	0	5	1	2	7
5	1	8	9	0	7	2	4	10	6	3
5	6	4	8	0	2	1	10	9	3	7
4	7	3	2	1	5	6	0	10	9	8
9	4	6	3	0	10	5	7	2	1	8
8	3	5	7	4	10	1	2	9	6	0
7	1	9	8	0	3	5	6	4	10	2
