1;111.7;128.4;104.0
2;112.7;119.8;115.1
3;122.5;125.1;119.2
4;122.6;128.1;118.9
5;141.8;126.7;107.5
6;126.1;125.0;131.2
7;136.3;130.6;117.4
8;132.0;132.8;122.4
9;130.4;134.6;122.7
10;130.8;133.1;125.3
11;129.3;145.0;116.6
12;125.4;155.6;113.8
13;128.1;136.6;131.7
14;126.1;129.3;143.1
15;140.4;136.4;124.0
16;138.4;141.0;123.3
17;142.4;135.2;128.5
18;138.0;139.2;129.2
19;141.9;141.3;129.2
20;144.3;143.5;125.7
21;132.1;129.7;153.5
22;142.2;145.3;128.5
23;137.3;143.0;139.3
24;139.3;151.7;128.7
25;142.3;146.6;131.5
26;136.5;141.7;143.4
27;145.1;143.7;135.5
28;139.6;139.3;146.0
29;140.9;155.1;135.3
30;149.5;152.0;133.5
31;149.6;154.2;133.9
32;142.3;154.7;141.0
33;149.8;154.2;136.4
34;162.0;145.8;134.8
35;149.2;154.9;138.9
36;149.3;154.1;140.3
37;142.2;169.2;132.8
38;176.5;132.1;141.8
39;153.2;151.9;146.5
40;130.0;139.3;182.4
41;148.9;152.6;150.5
42;166.9;147.4;140.4
43;150.2;144.8;162.6
44;153.8;154.5;150.1
45;154.5;165.5;138.5
46;155.6;159.0;146.2
47;157.9;157.0;148.5
48;153.7;154.1;155.6
49;155.4;171.2;138.5
50;146.4;161.7;159.2
51;166.2;147.4;154.7
52;157.6;166.3;145.5
53;154.9;162.3;153.5
54;177.7;150.5;149.2
55;156.8;165.5;161.5
56;169.4;159.2;155.7
57;167.2;169.0;149.0
58;163.3;159.5;162.7
59;160.3;179.6;146.2
60;168.4;170.5;147.8
61;162.7;177.1;153.5
62;190.6;162.0;146.8
63;151.8;193.5;155.5
64;170.3;177.1;156.6
65;172.1;175.8;158.8
66;166.2;169.9;172.0
67;166.9;182.0;159.6
68;172.3;166.6;170.9
69;228.5;147.7;135.4
70;176.3;175.6;163.0
71;172.4;169.2;175.2
72;176.6;180.3;163.8
73;166.6;167.9;186.2
74;177.2;180.5;168.4
75;179.6;183.0;163.6
76;180.7;177.6;172.7
77;192.2;180.8;164.6
78;190.2;185.9;161.5
79;165.4;233.3;146.4
80;182.4;179.4;186.2
81;183.9;185.8;179.2
82;183.5;186.6;180.6
83;190.2;190.0;171.6
84;185.6;189.9;179.3
85;166.5;238.3;150.9
86;187.1;216.6;152.1
87;196.7;197.2;170.8
88;190.6;200.6;178.4
89;199.6;198.2;173.6
90;195.2;194.9;186.0
91;195.0;197.8;184.4
92;192.9;203.7;184.6
93;246.7;181.5;162.4
94;178.9;259.6;171.8
95;223.8;199.7;202.0
96;303.7;208.6;156.4
97;333.5;337.7;352.9
98;419.8;432.4;406.3
99;415.7;444.1;428.4
100;476.0;483.3;428.2
